# Nucl. Phys. B 483 (1997), p. 3,,,,
# x,Q^2,F2,stat,syst
0.1126,2.62,0.3174,0.0196,0.0082
0.112,3.48,0.3721,0.0165,0.0078
0.1111,4.48,0.3654,0.0132,0.0059
0.1109,5.49,0.3718,0.0134,0.005
0.1109,6.83,0.3646,0.0117,0.0045
0.1106,8.87,0.4145,0.0209,0.0053
0.1112,10.76,0.3462,0.0357,0.005
0.1435,3.48,0.361,0.0134,0.0088
0.1421,4.49,0.3364,0.0102,0.0062
0.1411,5.48,0.3258,0.0101,0.0051
0.1413,6.87,0.3459,0.0087,0.0047
0.1407,8.9,0.3682,0.0147,0.005
0.1423,11.01,0.3925,0.0215,0.0057
0.1821,3.62,0.3116,0.018,0.0091
0.1866,4.5,0.3403,0.0126,0.0076
0.1845,5.49,0.3198,0.0119,0.006
0.1837,6.87,0.3461,0.0101,0.0053
0.1813,8.94,0.3361,0.0159,0.0047
0.1816,11.15,0.3692,0.0196,0.0054
0.2292,4.56,0.3112,0.0149,0.0072
0.2312,5.47,0.3104,0.0126,0.0061
0.2311,6.92,0.3188,0.0099,0.0051
0.2276,8.84,0.3082,0.0129,0.0046
0.2276,11.24,0.3664,0.0184,0.0054
0.2801,5.54,0.296,0.0161,0.0054
0.2853,6.93,0.2866,0.0106,0.0049
0.2808,8.86,0.2946,0.014,0.0046
0.279,11.27,0.2814,0.0164,0.0046
0.2792,14.19,0.2971,0.0295,0.0051
0.3411,7.08,0.2675,0.0104,0.0063
0.3527,8.86,0.2532,0.0104,0.0056
0.3528,11.33,0.234,0.0117,0.0048
0.3521,14.32,0.2631,0.0197,0.0053
0.4334,9.02,0.161,0.0103,0.0128
0.4626,11.36,0.1692,0.0095,0.0099
0.4722,14.39,0.1535,0.0115,0.0063
0.0035,0.83,0.289,0.0107,0.0144
0.0051,1.18,0.3027,0.0085,0.0136
0.0075,1.32,0.3158,0.0083,0.0123
0.0081,1.72,0.3516,0.0085,0.0129
0.0122,1.76,0.3445,0.0095,0.0118
0.0124,2.45,0.3786,0.0074,0.0115
0.0138,3.25,0.3684,0.0183,0.0093
0.0174,1.77,0.3166,0.0134,0.0107
0.0174,2.48,0.3675,0.009,0.011
0.0169,3.62,0.3863,0.0134,0.0087
0.0185,4.34,0.4076,0.0163,0.0112
0.0244,1.79,0.3062,0.0182,0.0106
0.0246,2.5,0.3494,0.0081,0.0101
0.0248,3.45,0.3848,0.0096,0.0103
0.024,4.54,0.3946,0.0113,0.0084
0.0252,5.45,0.3957,0.0113,0.01
0.0277,6.51,0.4177,0.0159,0.0118
0.0347,2.53,0.3482,0.0128,0.0103
0.0349,3.46,0.3703,0.0115,0.0095
0.035,4.43,0.3967,0.0157,0.0097
0.0346,5.5,0.3885,0.0135,0.0069
0.0347,6.96,0.4245,0.0102,0.0089
0.0368,8.65,0.3915,0.0161,0.01
0.0484,3.52,0.3298,0.0115,0.0086
0.0493,4.46,0.3764,0.0122,0.0086
0.049,5.47,0.3992,0.0131,0.0071
0.0489,6.99,0.3851,0.0089,0.0058
0.0494,8.96,0.3939,0.0094,0.0068
0.0516,11.12,0.4282,0.0118,0.0094
0.0695,4.5,0.3414,0.0184,0.0081
0.069,5.48,0.3644,0.0192,0.0078
0.0698,6.94,0.4126,0.0135,0.0065
0.0695,8.99,0.3942,0.012,0.0054
0.0696,11.39,0.4245,0.0112,0.0069
0.0707,14.46,0.392,0.0141,0.0082
0.0893,5.5,0.3589,0.0283,0.0087
0.0897,6.96,0.4048,0.0169,0.0082
0.0899,8.96,0.3614,0.0139,0.0077
0.0899,11.45,0.3804,0.0121,0.0061
0.0901,14.66,0.419,0.014,0.0078
0.0907,19.02,0.3856,0.0242,0.0093
0.1102,6.97,0.3479,0.0181,0.0071
0.1101,8.99,0.3522,0.0161,0.0072
0.1103,11.45,0.3731,0.0137,0.0062
0.11,14.76,0.3734,0.0136,0.0068
0.1102,19.38,0.4567,0.0248,0.0098
0.1395,7.15,0.3502,0.0195,0.0078
0.1402,9.01,0.3904,0.0178,0.0075
0.1398,11.43,0.3713,0.0115,0.0068
0.1398,14.83,0.3537,0.0104,0.0068
0.14,19.32,0.3616,0.0128,0.0077
0.1418,25.37,0.3794,0.0278,0.0096
0.1789,7.38,0.2916,0.0243,0.0067
0.1803,8.97,0.3504,0.0202,0.0073
0.1818,11.44,0.3437,0.0133,0.0066
0.1804,14.86,0.3505,0.0123,0.007
0.1804,19.42,0.3552,0.0131,0.0076
0.1805,25.9,0.375,0.0237,0.0091
0.2226,9.15,0.3263,0.0233,0.0067
0.2264,11.47,0.3361,0.0141,0.0067
0.2263,14.9,0.3083,0.0114,0.0061
0.2254,19.53,0.3206,0.0119,0.0067
0.2258,26.32,0.3309,0.0196,0.0076
0.2776,11.62,0.273,0.0153,0.0052
0.2755,14.82,0.2885,0.0133,0.0056
0.276,19.59,0.2804,0.0122,0.0057
0.2764,26.49,0.2705,0.0184,0.0059
0.2763,33.92,0.3336,0.0377,0.0079
0.3421,15.02,0.2152,0.0091,0.0045
0.3467,19.65,0.2214,0.0086,0.0046
0.3473,26.2,0.207,0.0112,0.0046
0.3494,34.49,0.241,0.0206,0.0062
0.4554,20.05,0.1462,0.0072,0.0061
0.4745,26.22,0.1268,0.0075,0.0046
0.4769,34.8,0.1077,0.0103,0.0042
0.0037,1.27,0.3389,0.0069,0.0164
0.005,1.71,0.3606,0.0069,0.0147
0.0056,2.15,0.3984,0.0151,0.0147
0.0073,1.81,0.3484,0.0091,0.0127
0.0079,2.44,0.3849,0.005,0.0138
0.009,3.37,0.4113,0.008,0.014
0.0121,2.55,0.3689,0.0071,0.012
0.0123,3.47,0.4012,0.0062,0.0123
0.0125,4.45,0.4154,0.0063,0.0142
0.0139,5.38,0.4469,0.0112,0.0174
0.0173,2.59,0.3523,0.0109,0.0113
0.0173,3.49,0.3804,0.0079,0.0111
0.0174,4.46,0.4125,0.0085,0.012
0.0168,5.6,0.4242,0.0105,0.0139
0.018,6.73,0.424,0.0072,0.015
0.0245,3.49,0.3716,0.0084,0.011
0.0245,4.48,0.391,0.0076,0.0105
0.0246,5.47,0.4107,0.0082,0.0109
0.0236,7.22,0.421,0.0068,0.0111
0.0253,8.88,0.4441,0.0064,0.0136
0.0279,10.79,0.4713,0.0117,0.0168
0.0347,4.48,0.4139,0.0109,0.011
0.0348,5.49,0.3969,0.0102,0.01
0.0348,6.86,0.4027,0.0091,0.0097
0.0345,9.03,0.4221,0.0079,0.0094
0.0348,11.44,0.4406,0.0063,0.0123
0.0369,14.1,0.4566,0.0109,0.0157
0.0469,5.53,0.3872,0.011,0.0099
0.0493,6.93,0.394,0.0072,0.0094
0.049,8.99,0.4008,0.0076,0.0078
0.0487,11.57,0.4257,0.006,0.0081
0.0494,14.87,0.4317,0.0053,0.0106
0.0529,18.9,0.4567,0.0081,0.0145
0.0663,7.32,0.3753,0.0137,0.0091
0.0699,8.93,0.39,0.011,0.0089
0.0696,11.47,0.4086,0.0085,0.007
0.0694,15.01,0.4135,0.0066,0.007
0.0699,19.65,0.4269,0.0061,0.0098
0.0716,25.56,0.4746,0.0139,0.0154
0.0863,9.35,0.3505,0.0188,0.0085
0.0897,11.49,0.4088,0.0103,0.0078
0.0897,14.97,0.3964,0.0084,0.0069
0.0895,19.88,0.402,0.0067,0.0082
0.0903,26.07,0.4068,0.0084,0.0108
0.1095,11.8,0.3664,0.0132,0.0075
0.1097,14.93,0.3908,0.0103,0.0075
0.1097,19.86,0.3832,0.0074,0.0077
0.11,26.38,0.376,0.0078,0.0091
0.1106,34.5,0.4316,0.017,0.0131
0.1391,11.77,0.362,0.0219,0.0079
0.1374,15.03,0.3834,0.0089,0.0079
0.1389,19.89,0.3664,0.006,0.0078
0.1394,26.63,0.3746,0.006,0.009
0.1401,35.24,0.3639,0.01,0.0103
0.179,15.07,0.3294,0.0107,0.0068
0.1796,19.99,0.3349,0.007,0.0072
0.1793,26.74,0.3392,0.0065,0.008
0.18,35.13,0.3548,0.0083,0.0096
0.1807,45.79,0.3708,0.0156,0.0114
0.2245,15.14,0.321,0.0114,0.0067
0.2245,19.97,0.3042,0.0069,0.0064
0.2244,26.77,0.3154,0.0064,0.0071
0.2242,35.28,0.3038,0.0071,0.0076
0.225,46.62,0.3167,0.0121,0.009
0.2654,16.07,0.3154,0.0288,0.0059
0.2744,19.99,0.284,0.0079,0.0058
0.2742,26.76,0.2644,0.0065,0.0056
0.2749,35.44,0.28,0.0074,0.0064
0.2745,47.03,0.2769,0.0113,0.0068
0.2772,59.81,0.1879,0.0288,0.0054
0.3293,20.74,0.2465,0.0085,0.0048
0.3447,26.74,0.2216,0.0049,0.0047
0.3453,35.49,0.2187,0.0051,0.0055
0.3461,46.63,0.2242,0.0066,0.0062
0.3501,61.21,0.234,0.0193,0.0074
0.4331,27.7,0.1653,0.0057,0.0076
0.4652,35.55,0.1347,0.0035,0.006
0.4701,46.57,0.122,0.004,0.0058
0.479,62.34,0.1227,0.0099,0.0064
